"incidencerate","medincome","povertypercent","studypercap","medianage","pctunemployed16_over","pctprivatecoverage","pctbachdeg25_over","target_deathrate"
453.5494221,48576,13.7,0,43.2,13.6,61.1,11.1,195.7
453.5494221,40714,19,0,48.7,15.4,58.1,6.8,254.3
453.5494221,42881,16.8,0,50.8,13.4,53.1,9.2,213.5
453.5494221,52001,18.5,0,41.3,9.5,59.9,7.5,121.8
453.5494221,55291,8.4,0,54.7,10.3,68.5,14.1,132.6
453.5494221,52862,15.4,170.0592746,37.6,9.1,65.4,18.2,166
453.5494221,57243,13.7,0,39.4,10.6,67.6,8.8,188.4
453.5494221,45639,19.3,36.68311293,42.6,11.3,61.3,12.8,193.5
508.6,59831,10,329.8098646,46.1,5.3,69.6,19.1,182.6
481.8,57556,10.7,0,50.3,5.8,70,20,168.8
489.4,56008,11.8,13.17366847,42,6.1,75,19.4,162.8
459.2,42491,14.9,32.03895937,48.1,6.9,61.8,11.7,181.6
435.5,56353,11.6,78.36990596,41.9,5,72.3,20.2,155
482.2,71233,8.7,105.7347582,40.1,5.9,76.7,23,163.2
507.6,62429,9.5,378.3937187,42.6,5.2,76.3,21.5,173.1
518.8,79653,6.1,72.90151337,43.5,5.6,82.7,24.6,172.2
502.6,58577,11.8,94.61856889,37.2,6.5,74.8,21.1,177.6
475.7,57142,10.4,0,45.1,5.8,69.6,16.4,171.9
505.5,54208,15.1,43.76064386,40.6,12.5,66.9,17,179.5
468.1,84309,7.6,330.3122196,41.5,6.5,75.5,29.5,147.3
531.8,80479,7.2,446.4424533,41,8.5,81.4,23.3,171.6
530.9,61685,13,972.7493184,38.3,10.2,68.3,19.4,182.8
559.1,55409,13,179.4630887,48.3,10,72.1,19.5,193.1
511.3,45438,19.5,128.3252275,36.9,11.1,59.4,10.5,189.6
450.6,54603,16.7,137.9424504,36.9,13,59.9,19.8,161.8
544.2,78983,8.2,106.3541456,39.6,9.2,78,19.9,193.5
399.5,57720,17.7,1.481841514,34.7,9.3,56.5,23.8,152.6
496.3,103876,4.7,47.81333673,45,5.9,87.5,29.3,145.1
504.7,73750,11.8,96.93105509,38.4,9.4,73.1,20.7,160.3
466.7,77330,8.3,89.19015341,37.7,7.5,74.6,24.5,156.7
529.6,87220,8.2,146.3302132,42.3,7.9,78.8,26.1,168.6
488.5,100511,5,122.1199218,42,6.3,84,29.8,150.3
524.9,62937,11.9,62.84810632,42.8,8.8,70.9,18,174.2
448.4,58030,18.2,60.67533606,36.5,8.6,55.8,17.1,159.1
516.6,56645,13.1,62.32471175,41.8,10.6,69.1,14.3,194.8
471,100194,5,329.6828451,40.8,6,82.2,29.2,153.3
493.1,82048,6.2,132.2447502,43.4,8.2,80.9,23.2,176.4
463,68172,11.1,25.18955137,38.1,9.8,65.9,19.7,155.6
485.9,71294,8.3,28.0717514,42.6,9,76.9,19.7,175.1
404.1,47192,18.7,294.0807022,36.5,8.4,58.5,17.9,147.1
375.5,33256,22.2,0,57.1,4.6,62.3,14.8,164.7
375.8,38403,23.4,0,34.8,7.6,49.6,11.9,164.5
375.5,35081,28.8,0,36.2,15.3,40.4,8.4,146.5
377.4,37156,20.5,0,47.6,9.5,57.1,14.9,139.9
336.5,42620,19.2,0,30.7,9.1,56.9,12.6,143.8
467.1,33789,20.6,0,47.3,5.2,53.4,6.8,243.6
381,38974,27.9,111.9951469,32.4,11.5,49.6,16.2,150.8
391.3,57007,14.1,0,36.5,5.8,62.3,10.7,170.8
366.5,38221,19.1,454.4024608,46.5,9.7,57,12.8,159.4
361.2,29147,25.8,0,41.6,1.2,60.6,7.8,142.8
357,34304,24.5,678.2726656,41.8,12.2,42.7,9.3,166.3
357.1,58994,16.6,0,31.8,5.9,55.6,8.1,166.2
363.9,39995,20.1,1287.332647,50.4,7.3,54.5,19.5,123.4
406.2,108477,4.2,0,43.5,3.5,89.6,24.9,114.5
420.6,27268,30.6,0,39,13.8,37.5,6.9,181.8
332.9,29497,35.8,0,30.8,15.5,25,6.7,137.7
359,27627,24.2,0,42.6,5.4,27.8,6.8,134.3
393,41736,20.2,15.53711818,35.6,12.7,53.2,9,161.1
412.7,29069,23.9,0,45.7,5,54.8,9.1,190.6
351.8,34902,24.1,0,40.1,11.4,48.8,10.6,155.5
360.7,36108,24,0,29.4,9.7,54.7,12.8,163.5
356.1,47520,21,202.1273908,34.2,9.2,50.4,9.1,136.7
355.6,32964,25.5,0,42.5,6.4,46.4,10.5,158.2
374.3,52628,14.2,60.53024495,44.4,7.9,60.1,20.4,126.1
424.2,29036,23.8,0,55.6,6.8,50.8,12.3,190.3
404.4,32285,31,0,36.8,7.3,50.5,10.6,167.8
339,36125,19.2,0,46.8,10.7,47.3,16.9,135.2
558.5,37311,27.6,64.57862448,43.3,11.2,42,10.4,164.3
303,36684,19.4,0,40.3,2.1,48.2,11,151.6
402.3,40591,24.5,330.0896524,38.5,12.4,52.6,10.8,163.1
505.9,60371,13.5,420.193871,37.9,6.4,77.7,20.1,176.1
490.7,42655,18.3,0,38.3,9.2,67.8,9.8,177.2
455.3,33687,31.5,241.1635212,33.2,14,43.1,12.3,162
494.4,46283,17.2,106.8338022,39.9,7.8,69.2,15,163.6
517.8,43892,16.2,0,41.4,8.2,67.3,10.3,167.9
470.8,52792,12.7,102.1867975,42.5,7.3,71,12.5,158.6
550.1,41757,19.3,267.6270655,41.7,7.8,66.5,11.3,173.2
508.2,48880,18.2,195.2429626,40.9,5.4,68.8,12.8,183.8
512.4,46387,16.7,0,43.8,7.1,66,9.5,180.3
437.1,34842,20.5,19.27487905,46,10,59.8,7.3,194.2
327,38636,14.6,0,59,1.1,69.4,14.6,111.3
460.2,64350,10.2,0,44.5,8.3,76.5,17.3,200.6
423,75926,7.9,27.34220132,45.4,5.1,81.1,26.5,149
383.4,46331,14.8,0,45.9,5.5,65.7,12.5,180.3
491.5,76206,7.5,0,36.6,7.4,83.5,19,195.7
514.8,64305,8.8,0,40.7,5.4,75.6,12.5,187.4
446.8,45827,13.7,0,55.6,7.9,71,15.3,190.6
330.5,31429,26.6,0,42.8,12,52.5,7.6,224.2
364.9,122641,3.9,449.9120142,35.3,4,86.9,34.8,136.5
456.9,60121,11.5,0,43.7,8.1,67.4,13,191
404.1,37548,22.4,0,44.7,7.3,58.5,8.1,189.8
463.3,52513,12.3,0,44.6,6.6,65.3,14.4,169.8
444.9,58268,10.6,225.6826901,51.1,3.3,80.6,16.2,157.1
445.1,38500,21.1,289.5659728,47.2,6.9,61.7,9.8,213.7
525.6,48921,14.4,94.28625306,52.7,6.3,77.6,15.3,206.9
396.2,43484,24.8,256.00852,27.5,5.6,82.4,23.2,153.3
526.7,48076,13.4,0,48.4,5.7,69.1,14.4,194.3
454.3,72406,6.2,0,43.1,6.1,83.8,16.7,201.4
527.2,36822,21.5,0,48.3,9.5,56.8,14,227.1
450.4,51422,14.3,0,55.1,8.7,76.1,16.1,190.5
508,37996,24.3,0,41.5,10.8,59.2,10.5,201.5
503.5,59282,10.7,0,42.6,7.9,69.9,15.2,177.3
430.1,44851,16.9,0,44.1,9.3,63.5,8.1,199.2
339.1,34885,21.9,0,48,8.3,57.4,8,178.3
459.6,75539,7.1,0,43.7,4.9,83.7,19.3,175.1
410.4,37543,25.5,0,32.1,7,69.6,12.4,188.8
437,61792,10.5,0,37.1,10.6,80.5,14,172.1
373.7,91886,7.2,19.92380252,34,5.4,78,23.2,150.1
390.6,46186,14.7,0,45.2,7.4,69.3,11.4,185.8
401.1,62800,9.3,0,49.1,2.9,68.1,19.9,149.6
452.4,42204,19.7,0,43.7,8.7,70.6,8.8,176.2
400.5,61935,8.2,21.18442098,43.5,5.1,79.6,22.7,155.9
338,48497,13,0,48.3,4.1,69.3,13.8,159.2
400.2,55798,11.7,0,41.5,5.4,72.9,14.4,156.1
365.4,37378,17.9,0,43.8,8,56.7,8,212
330.8,36290,20.8,0,45.4,9.4,62.7,8.1,196.1
407.6,45430,12,0,43.8,6,68.9,12.2,171.4
389.1,37831,19.7,0,44.3,6.4,59.2,9.2,202.4
405.7,46521,15.3,0,45.4,7.2,66.8,10.1,181.8
449.4,75714,9.2,176.2789806,36.7,6.2,78.3,17.9,172.5
450.5,92647,5.9,0,34.7,5.5,84.1,22.2,175.6
426.5,48707,12.9,0,47.5,10.7,65.2,15.4,182.2
486.9,37748,23.9,0,38.5,6.9,66.2,5.5,208.4
376.4,38292,19.2,23.31056668,43.1,8,59,8.5,208.1
428.2,60714,11.3,0,40.4,7.2,75.2,13.9,202.5
420.8,43353,14.5,36.63607554,44.7,6.9,67.4,14.4,176.7
450.9,48232,15,0,46.6,9.7,64.7,11.5,179.9
367.3,38528,21.9,0,39.8,11,59.7,9,223.4
433.5,41132,15.6,137.3673546,43.6,9.6,63.9,9.8,175.9
389.3,81169,5.5,0,39.5,5.8,87.2,22.8,152.3
317.6,86419,9.6,58.62772049,36,4.5,76.4,29.8,135.4
265.7,34099,21.8,408.3775742,41.8,10.7,57.3,16.1,226.6
578.2,38331,17.2,0,33.8,7.3,59.9,11,240.8
718.9,45890,25.9,364.8303539,29.8,4.3,76.1,23.3,178.2
458.3,66625,9.8,46.72321592,36.5,7.5,77.9,18.8,182.2
493.6,52355,11.5,0,40,8.3,74.6,13.7,159.3
539,33646,23.6,356.4469369,41.8,12.7,57.2,11.3,207.4
447.7,125635,3.2,0,37.7,4.2,92.3,34.4,137.6
468,38583,22.5,0,38,13.7,59.4,16.1,221.7
566.3,51195,16.8,1280.318657,29.4,8.9,71.3,21.2,180.3
491.9,47615,15.2,168.5549709,35.4,9.8,69.5,14.9,190.3
591.1,38541,28.3,57.10152651,23.5,6.5,72.8,20.6,150.5
547.6,40122,19.5,0,36.9,12.8,62,8.1,244.9
495,40065,25,388.41277,28.7,8,69.1,19.9,194.5
364.1,72510,9.8,0,33.3,7.5,69.1,17.6,155.2
457.2,48440,16.7,159.0043041,32.8,9.1,68.8,15,191.9
480.5,42567,23.4,523.5538347,30,10.9,63,15.6,193.6
461,31620,21.6,3046.458492,39.3,11.1,59.8,14.3,197.3
651.3,32749,25.8,0,39.5,13,53.1,9.2,224.4
441.3,84213,5.9,0,43.8,4.5,87.7,22.4,159.2
473.2,43045,18.3,187.1082421,34.9,11.6,62.4,13.3,218.1
463.1,34267,32.4,0,22.3,8.8,76.1,20.7,193.1
475.4,42074,25,122.5662652,32.9,10,59.3,21.9,200.2
512.4,40735,20.4,430.4433567,38,8.3,59.2,14.8,201.2
511.5,54195,10.2,432.5259516,40.5,4.8,75.1,17.1,186.6
537.9,42552,16.5,0,42.3,5.6,68.4,18.8,176.1
472,60735,13.6,11.34288404,38.3,8,73.4,16.4,199.3
435.6,67676,8.6,88.34995417,35,6.1,80,22.2,168.1
596.9,44843,14.6,0,38.5,4.9,61.7,11.7,210.5
1014.2,46954,20.1,0,24.6,8.5,83.3,27.1,162.1
401.9,44537,13.4,1026.242486,37,6.7,65.6,15.3,192.8
340.3,47423,19,0,28.9,9.6,45,9.1,135.7
371.3,44055,16.3,0,44.2,9.6,64.1,12.9,188.3
452.4,58750,14.6,462.4058768,35.5,6.9,66.6,18.3,163.9
451.5,49174,14,727.0900534,39.3,7.5,64.3,15.2,154.7
480.2,47185,16.2,136.0803418,50.1,9.9,63.5,14.8,181.3
427.4,61747,9.9,272.0377806,37.4,8.6,69.8,17.8,178.2
476.2,45465,15.5,0,49.5,10.4,60.7,16.3,194.4
455.5,44235,20.6,202.961302,41.2,10.7,62.3,9.8,184.1
449.9,51151,15.5,24.67064686,37,6.5,55.3,12.8,157.4
358.2,39992,22.4,0,47.7,12.2,50.6,11.5,161.1
420.9,55006,17.3,0,29.1,7.2,52.7,10.5,163.5
293.6,46404,14.2,0,49.8,7.4,62.8,19.6,115
417.9,50388,15.8,0,32.2,10.1,49.9,10.7,173.1
518.4,43205,19.6,140.6034701,42.7,14.3,56.7,9.9,194.6
462,59358,10.3,0,44,9,75.7,20.6,143.5
480.9,50964,14.1,262.5878028,55.6,9.5,66,21.5,154.9
464.2,75738,11.3,620.6530082,37.2,6.3,75.8,29.6,152.7
414.6,38989,19.9,0,39,11.7,65.2,11.8,170.7
464.3,34655,24.5,0,46.4,13.2,55.6,7.7,203.8
345.3,60650,10,0,39.7,6.5,80.6,19.1,149.1
416.1,41101,16.5,0,49.3,12,65.3,11.1,178.6
393.1,43338,14.8,384.8585645,46.4,9.2,66.5,13.6,178.5
358.9,45174,14.4,1318.442687,46.4,7,71.2,15,172.2
413.5,57088,9.8,9.191091994,41,7.8,76.5,16.1,178.6
489.1,50191,11.6,422.1826845,44.3,8.4,71.7,20.2,168
514.3,41787,21.5,523.3066163,39.6,13.2,63.5,12.1,192.1
475.7,39721,18.5,0,48.9,11,61.6,7.6,196.5
324.9,33600,20.9,0,48.3,9.5,61,12.3,195.2
521.2,55592,9.7,556.5498276,41.7,6.6,73,18.9,151.8
447.1,43509,18.5,0,38.9,8.5,68,8.6,168.3
396.3,44780,16.6,0,42,9,65,9.6,187.5
373.8,39126,18.7,0,32.8,7.2,71.6,19.2,155.4
448.5,41678,14.1,0,48,7.8,69.4,9.5,181.6
514.9,45840,20.1,443.9240086,31.5,9,72.7,20.4,165.5
417.8,48681,15.2,0,37.9,10.4,69.1,10.6,173
344.3,35961,17.3,0,53.3,9,64.1,13.6,167.6
446.7,42431,28.3,99.01270192,26.3,11.3,72.6,15.5,180.1
473.5,46670,15.4,514.1259232,40.5,10.3,67.9,13.7,193.8
464.2,46283,18.9,810.7183887,34,9.1,73.4,21,171
469.6,40709,17.4,0,44.4,10.4,60.6,8.2,200.7
473.3,53342,15.3,414.8536462,34.8,7.7,72.2,21.8,160.2
337.6,40411,12.7,0,54.5,7,66.2,13.5,113.5
395.3,30990,29.2,0,51.5,13.2,51,5.6,213.1
484.6,51510,11.1,135.7880801,43.3,10.5,74.7,11.2,186.7
372.9,60622,8.9,0,52.4,7.1,75.8,22.3,132.5
425.8,48194,14.5,649.2650117,40.9,8.6,71.5,12.7,177.6
433.5,74341,6.1,0,42.1,5.9,83.2,22.2,162.7
366,37590,20.6,0,44.3,11.6,59.5,8.6,175.3
422.5,39359,15.4,0,50.9,12.5,63.4,11.9,160.3
506.5,54865,12.3,154.9419546,40.8,9,73.6,15.2,177.8
494.9,37477,16.6,81.7628061,48.2,11.5,65.4,12.3,180
430.4,44735,15.4,74.38815741,39.1,8.1,73.2,19.1,168.7
350.2,42896,16.3,799.0827919,45.7,10.7,64.3,12.6,190.2
448.5,41572,23,626.9301321,35.7,12.2,67.9,13.6,177.2
310.1,42191,14.5,0,47.5,8.5,66.3,11.3,185
438.7,51629,11.9,0,40.9,8.5,76.5,19.4,154.4
417.3,40455,16.1,0,43,11,61.4,8.8,190.2
371,57719,10.4,608.4189131,41.7,8.3,77,12.2,182.8
475.3,41554,20.4,0,40,11.2,64.9,8.7,184.5
484.4,37961,15.7,0,54.6,16,60.8,6.8,207.6
499,42588,20,260.4317379,39.1,11.9,64,12.6,189.2
393.2,41588,21,0,42.4,10.1,62.4,9.3,197
495.7,69378,10,297.0287466,40.8,7.5,79,25.4,159.6
370.2,41166,20.1,0,42.3,8.7,61.3,10.6,153.3
402.9,35968,21.4,0,49,12.4,60.1,7.5,177
396,35387,17.8,0,55.6,13.7,63.6,10.8,171.1
541.3,40235,20.4,1778.124729,42.5,10.3,59.7,8.7,193.7
404.3,33975,20.5,0,51.3,13.2,57.4,6.7,199.5
457,44693,13.2,0,44.2,8.2,68.4,13.5,194.7
404.1,60577,9.1,7.144005287,34.7,6.1,80.2,20.9,142.2
414.7,39420,16.1,0,53.2,13.1,70,10.6,171.8
496.9,35002,20.7,0,54.4,14.2,60.7,9.1,201.8
475.4,44548,17.4,460.4075383,40.3,11.1,67,13.6,175.3
488,50303,13.8,500.3909304,42.8,10.4,71.2,11,189.5
404.4,43687,18.5,0,39.2,8.6,66.2,9,178.9
368.5,42081,14.7,0,44.2,10.7,63.8,7.8,170.6
439.1,39539,17.6,0,50,15.6,60,9.3,213.7
505,47882,15.3,72.8661158,41.5,10.3,70.7,10.3,184.9
459,43186,15.6,0,43.3,9.3,68,9.4,181.9
431.5,46715,16.5,173.1555603,41.3,8.4,62.7,12.6,188.2
463.9,62861,14.3,1290.124833,33.4,7.4,82.2,25.4,157
528.7,41434,24.1,470.063973,37.8,14.9,58.4,13.4,197.9
528.4,39807,19,0,41.7,9.5,63.4,11.4,199.2
453.5494221,40676,14.9,0,53.1,7.3,66.3,10.8,164.1
453.5494221,70868,7.6,418.4209838,37.9,6.2,79.3,20,167.9
453.5494221,51116,14.6,0,42.4,3.5,66.7,15.6,189.3
453.5494221,43706,18.5,1050.972149,33.3,10.6,58.6,17.4,162.6
453.5494221,52531,13.6,0,35.4,6.7,71.5,15.2,155.3
532.7,51576,16.6,12.30754083,39.4,6.9,72.6,11.9,182.1
472.2,55047,11.6,130.0622673,46.6,6.7,73.1,14.4,171.5
522,48357,13.8,41.24221553,36.1,6.1,75.3,13.4,181.4
461,45860,14.4,0,46.4,9.5,66.8,11.5,160.7
486.7,70925,10.2,74.38614524,41.2,8.7,76.3,18.3,164.8
544.1,50134,15.2,121.3989495,40.4,7,71.9,17.3,183.3
463.7,50182,12,25.98887676,45.9,7.9,70.8,13.4,164.5
466.4,45704,18.5,0,39.8,8.8,64.6,9,180.9
504.2,45409,17.8,0,42.8,9.3,64.2,8.7,183.4
520.5,52410,12,0,42.7,6.7,73.2,12,181.6
505.7,52597,11.1,0,45.2,9.1,70.6,12.2,187.3
526.9,49137,11.4,9762.308998,51.9,9.7,73.1,13.8,194.2
480.7,44148,16.5,15.84786054,42.9,8.7,65.8,13.1,150.9
500.8,49781,15.1,0,31.8,10.6,69.7,11.8,177
452.3,47547,23.4,42.47677525,34.4,10,51.4,20.1,153.8
470.1,47542,14.3,593.5378566,41.4,8.3,68.3,8.7,173.6
462.2,49920,14.7,0,40.1,5.4,76.5,13,172
505.4,51600,11.8,125.2627037,40.8,5.1,74.1,14.8,174.2
498.9,51371,14.2,94.7171825,38.5,7.7,73.1,20.3,169.5
511,40923,18.9,60.43269812,41,8.9,61.4,10.1,170.1
514.3,98312,6.7,263.7088185,41.3,6.4,79.6,23.7,145.8
463.9,75459,17.7,1258.727481,36.6,7.5,67.3,31.6,145.2
507.2,49274,13.4,0,42.6,7.6,72.9,13.6,177.1
501.5,48350,17.7,38.70967742,41.2,7.4,66.4,13.9,173.9
525.9,52892,16.1,347.9463693,38.8,7.2,73.1,19,180.4
484.6,58473,11.5,100.40069,43.1,6.4,75.4,17.2,162.9
503.5,69228,13.4,66.19938726,36.8,7.3,71.9,17.2,173.6
495.9,46577,15.5,0,42.2,9,67.8,9.6,184.2
459.8,36891,21.9,0,43,12.7,57.4,8.4,205
477.1,54026,12.7,264.9146975,39.9,9.8,69.1,17.7,181
458.4,38130,23.5,0,36.8,6.2,65.1,17.5,177.2
459.8,50055,15.3,21.54475924,37.4,8.9,64.1,14.8,184.9
464.6,38928,22.2,0,45.2,11.6,54.9,8.1,205.2
462.5,46073,18.5,0,37.5,10.3,59,14.7,182.2
524.4,35991,22.1,722.8169208,42.1,13.1,53.2,8.8,194
460.5,49676,16,567.6559511,42,10.2,64.8,14.3,165.7
483.7,37881,17.6,0,43.1,11.1,57.9,9.4,181.8
440,37884,18.1,0,49,7.3,55.4,14.9,161.4
416.2,38445,19.9,94.61185487,44,7.3,61.8,12.9,143.7
491.5,35930,19.7,0,46,14.7,55.2,9.9,177
451,59049,15.2,307.5227016,34.5,8.9,67.9,28.4,158.6
450.3,36795,19.2,131.1819494,46.7,8.6,61.8,11,180.9
447.6,38530,21.1,36.30027588,41.1,10.5,51.5,10.6,153.3
483.6,51650,15.5,392.1485501,45.1,8,66.3,19.7,160.3
452.5,43348,18.2,21.29494564,41,11.9,59.8,13.6,189
442.6,49905,18,154.2943755,37.8,8.9,70,24.7,164
